statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08226KRSI;Rhein-Neckar-Kreis, Landkreis;1061550035;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08236KRSI;Enzkreis, Landkreis;348;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08236KRSI;Enzkreis, Landkreis;573600278;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08317KRSI;Ortenaukreis, Landkreis;238;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08317KRSI;Ortenaukreis, Landkreis;1850353606;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08435KRSI;Bodenseekreis, Landkreis;330;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08435KRSI;Bodenseekreis, Landkreis;664772535;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08425KRSI;Alb-Donau-Kreis, Landkreis;147;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08425KRSI;Alb-Donau-Kreis, Landkreis;1358545154;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08118KRSI;Ludwigsburg, Landkreis;780;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08118KRSI;Ludwigsburg, Landkreis;686771157;m²;FLC006;Gebietsfläche
